id,role,start_date,end_date,remote,assignment_details,assignment_status,availability,user_id,emergency_id,created_at,updated_at
18,FACT/CAP Information Management,2011-01-01,2011-02-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,10,9,2022-10-03 15:23:36,NULL
19,FACT/CAP Information Management,2012-08-01,2012-09-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,11,11,2022-10-03 15:30:34,NULL
20,FACT/CAP Information Management,2013-11-01,2013-12-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,12,12,2022-10-03 15:56:40,NULL
21,Remote IM Support,2013-11-01,2013-12-01,1,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,13,12,2022-10-03 15:58:25,NULL
22,Remote IM Support,2013-11-01,2013-12-01,1,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,14,12,2022-10-03 16:00:30,NULL
23,FACT/CAP Information Management,2014-01-07,2014-03-28,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,15,12,2022-10-03 16:02:52,NULL
24,FACT/CAP Information Management,2013-11-01,2013-12-01,0,Assignment imported for SIMS Portal launch - details missing.,Active,NULL,16,12,2022-10-03 16:04:33,NULL
26,Information Management Coordinator,2022-03-14,2022-05-14,0,Dan served as the Information Management Coordinator for the Poland operation.,Active,NULL,15,4,2022-10-07 19:16:57,NULL
27,Information Management Coordinator,2022-03-28,2022-04-28,0,Katie supported Information Management efforts in Poland.,Active,NULL,17,4,2022-10-07 19:30:32,NULL
29,SIMS Remote Coordinator,2022-10-14,2022-10-20,0,Chanthou is serving as the second round SIMS Remote Coordinator,Active,NULL,4,4,2022-10-14 17:47:40,2022-11-05 14:18:36
33,Information Management Coordinator,2022-03-03,2022-04-15,0,"Jonathan served as the Humanitarian Information Analysis Coordinator, based in Budapest.",Active,NULL,1,4,2022-11-03 19:21:21,NULL
34,Remote IM Support,2022-11-15,2022-11-22,0,,Active,"['2022-11-15', '2022-11-18', '2022-11-19', '2022-11-20', '2022-11-21']",1,4,2022-11-15 15:42:18,2022-11-15 15:42:53
35,SIMS Remote Coordinator,2022-09-05,2022-09-30,1,Susanna served as the first round SIMS Remote Coordinator.,Active,NULL,38,60,2022-11-29 17:21:23,NULL
36,Remote IM Support,2022-09-05,2022-09-30,1,,Active,NULL,20,60,2022-11-29 17:22:25,NULL
37,Remote IM Support,2022-09-05,2022-10-07,1,,Active,NULL,21,60,2022-11-29 17:23:34,NULL
38,Remote IM Support,2022-09-05,2022-09-09,1,,Active,NULL,22,60,2022-11-29 17:24:20,NULL
39,Remote IM Support,2022-09-05,2022-09-09,1,,Active,NULL,23,60,2022-11-29 17:25:01,NULL
40,Remote IM Support,2022-09-05,2022-09-30,1,,Active,NULL,24,60,2022-11-29 17:25:36,NULL
41,Remote IM Support,2022-09-12,2022-09-30,1,,Active,NULL,18,60,2022-11-29 17:26:11,NULL
42,Remote IM Support,2022-09-12,2022-10-07,1,,Active,NULL,25,60,2022-11-29 17:27:05,NULL
43,Remote IM Support,2022-09-12,2022-11-18,1,,Active,NULL,26,60,2022-11-29 17:27:54,NULL
44,Remote IM Support,2022-09-12,2022-09-23,1,,Active,NULL,27,60,2022-11-29 17:28:33,NULL
45,Remote IM Support,2022-09-26,2022-09-30,1,,Active,NULL,28,60,2022-11-29 17:29:00,NULL
46,Remote IM Support,2022-09-26,2022-09-30,1,,Active,NULL,29,60,2022-11-29 17:29:35,NULL
47,Remote IM Support,2022-10-03,2022-10-07,1,,Active,NULL,31,60,2022-11-29 17:29:58,NULL
48,Remote IM Support,2022-10-03,2022-11-25,1,,Active,NULL,35,60,2022-11-29 17:30:53,NULL
49,Remote IM Support,2022-10-03,2022-11-25,1,,Active,NULL,32,60,2022-11-29 17:33:33,NULL
50,Remote IM Support,2022-10-17,2022-10-28,1,,Active,NULL,33,60,2022-11-29 17:36:10,2022-11-29 17:36:33
51,Remote IM Support,2022-10-24,2022-11-25,1,,Active,NULL,36,60,2022-11-29 17:37:50,NULL
52,Remote IM Support,2022-10-31,2022-11-11,1,,Active,NULL,37,60,2022-11-29 17:38:43,NULL
53,Remote IM Support,2022-10-31,2022-11-04,1,,Active,NULL,34,60,2022-11-29 17:39:15,NULL
54,SIMS Remote Coordinator,2022-10-03,2022-11-04,1,"Marije served as the second round SIMS Remote Coordinator for the operation, taking over from Susanna Grenga.",Active,NULL,26,60,2022-11-29 17:40:36,NULL
55,SIMS Remote Coordinator,2022-11-07,2022-11-25,1,"Lydia served as the third round SIMS Remote Coordinator, taking over from Marije Plak.",Active,NULL,19,60,2022-11-29 17:41:38,NULL
